restaurant_id,name,cuisine,location,rating,price_range,delivery_time,description
R141,Restaurant 141,South Indian,Whitefield,3.0,$,60,Authentic Mexican cuisine with great ambiance
R142,Restaurant 142,Italian,Koramangala,3.8,$,41,Authentic Continental cuisine with great ambiance
R143,Restaurant 143,Mexican,Indiranagar,4.0,$,31,Authentic Chinese cuisine with great ambiance
R144,Restaurant 144,Thai,Whitefield,4.7,$,35,Authentic North Indian cuisine with great ambiance
R145,Restaurant 145,Indian,Koramangala,3.4,$$$,47,Authentic South Indian cuisine with great ambiance
R146,Restaurant 146,Italian,Indiranagar,4.9,$$$,55,Authentic South Indian cuisine with great ambiance
R147,Restaurant 147,Mexican,Koramangala,3.3,$$,38,Authentic Italian cuisine with great ambiance
R148,Restaurant 148,Continental,Koramangala,5.0,$,51,Authentic Italian cuisine with great ambiance
R149,Restaurant 149,Mexican,Koramangala,4.9,$$$,31,Authentic Italian cuisine with great ambiance
R150,Restaurant 150,South Indian,Jayanagar,4.9,$$$,40,Authentic Thai cuisine with great ambiance
R151,Restaurant 151,Thai,Koramangala,4.6,$,34,Authentic Indian cuisine with great ambiance
R152,Restaurant 152,Chinese,Koramangala,4.0,$$$,36,Authentic Italian cuisine with great ambiance
R153,Restaurant 153,North Indian,Whitefield,3.8,$,43,Authentic North Indian cuisine with great ambiance
R154,Restaurant 154,South Indian,HSR Layout,3.5,$$,20,Authentic Italian cuisine with great ambiance
R155,Restaurant 155,Thai,Jayanagar,3.9,$$,54,Authentic Chinese cuisine with great ambiance
R156,Restaurant 156,Chinese,Jayanagar,4.9,$$$,23,Authentic South Indian cuisine with great ambiance
R157,Restaurant 157,Italian,BTM Layout,3.7,$$$,20,Authentic Continental cuisine with great ambiance
R158,Restaurant 158,South Indian,Indiranagar,4.4,$$,21,Authentic Italian cuisine with great ambiance
R159,Restaurant 159,North Indian,HSR Layout,3.9,$$,42,Authentic Thai cuisine with great ambiance
R160,Restaurant 160,Mexican,Koramangala,4.7,$$,49,Authentic North Indian cuisine with great ambiance
R161,Restaurant 161,South Indian,Jayanagar,4.3,$,39,Authentic North Indian cuisine with great ambiance
R162,Restaurant 162,North Indian,Whitefield,3.5,$$$,48,Authentic Mexican cuisine with great ambiance
R163,Restaurant 163,Italian,BTM Layout,3.2,$$$,33,Authentic Italian cuisine with great ambiance
R164,Restaurant 164,Continental,Jayanagar,4.1,$$$,42,Authentic Mexican cuisine with great ambiance
R165,Restaurant 165,South Indian,Indiranagar,4.1,$$$,26,Authentic South Indian cuisine with great ambiance
R166,Restaurant 166,North Indian,Whitefield,4.3,$$$,57,Authentic Indian cuisine with great ambiance
R167,Restaurant 167,North Indian,Indiranagar,4.7,$,40,Authentic South Indian cuisine with great ambiance
R168,Restaurant 168,Mexican,Koramangala,3.8,$$$,39,Authentic Thai cuisine with great ambiance
R169,Restaurant 169,Italian,Jayanagar,4.1,$$,31,Authentic Chinese cuisine with great ambiance
R170,Restaurant 170,Mexican,Indiranagar,4.1,$$$,28,Authentic Chinese cuisine with great ambiance
R171,Restaurant 171,Indian,Whitefield,4.1,$,59,Authentic Continental cuisine with great ambiance
R172,Restaurant 172,Indian,HSR Layout,3.9,$$$,51,Authentic North Indian cuisine with great ambiance
R173,Restaurant 173,North Indian,Indiranagar,3.2,$$,45,Authentic Italian cuisine with great ambiance
R174,Restaurant 174,Chinese,HSR Layout,4.9,$,43,Authentic South Indian cuisine with great ambiance
R175,Restaurant 175,South Indian,Indiranagar,4.0,$$,32,Authentic Continental cuisine with great ambiance
R176,Restaurant 176,Mexican,Koramangala,3.6,$$$,22,Authentic Continental cuisine with great ambiance
R177,Restaurant 177,Thai,Indiranagar,4.5,$,39,Authentic Indian cuisine with great ambiance
R178,Restaurant 178,Italian,Whitefield,3.0,$$,37,Authentic South Indian cuisine with great ambiance
R179,Restaurant 179,South Indian,Koramangala,4.0,$$$,52,Authentic Italian cuisine with great ambiance
R180,Restaurant 180,Continental,Whitefield,4.2,$$,24,Authentic Italian cuisine with great ambiance
R181,Restaurant 181,Italian,Koramangala,4.0,$,31,Authentic North Indian cuisine with great ambiance
R182,Restaurant 182,Italian,Whitefield,4.6,$,33,Authentic Indian cuisine with great ambiance
R183,Restaurant 183,Thai,Whitefield,3.8,$$,55,Authentic Indian cuisine with great ambiance
R184,Restaurant 184,North Indian,Indiranagar,3.2,$,39,Authentic Mexican cuisine with great ambiance
R185,Restaurant 185,Continental,BTM Layout,3.5,$$,59,Authentic Indian cuisine with great ambiance
R186,Restaurant 186,Thai,Indiranagar,4.4,$,36,Authentic Chinese cuisine with great ambiance
R187,Restaurant 187,Italian,BTM Layout,4.8,$,47,Authentic North Indian cuisine with great ambiance
R188,Restaurant 188,Italian,Whitefield,4.3,$,21,Authentic South Indian cuisine with great ambiance
R189,Restaurant 189,Indian,HSR Layout,3.4,$,38,Authentic North Indian cuisine with great ambiance
R190,Restaurant 190,Thai,BTM Layout,3.9,$$,24,Authentic North Indian cuisine with great ambiance
R191,Restaurant 191,North Indian,Indiranagar,3.1,$,30,Authentic South Indian cuisine with great ambiance
R192,Restaurant 192,Italian,HSR Layout,4.9,$,35,Authentic Thai cuisine with great ambiance
R193,Restaurant 193,Chinese,Koramangala,3.5,$,38,Authentic Chinese cuisine with great ambiance
R194,Restaurant 194,Indian,HSR Layout,3.4,$,47,Authentic Continental cuisine with great ambiance
R195,Restaurant 195,Mexican,Koramangala,4.6,$$$,53,Authentic South Indian cuisine with great ambiance
R196,Restaurant 196,Thai,Indiranagar,3.3,$,52,Authentic Mexican cuisine with great ambiance
R197,Restaurant 197,Thai,Koramangala,5.0,$$,25,Authentic Italian cuisine with great ambiance
R198,Restaurant 198,Mexican,Indiranagar,3.8,$$$,23,Authentic Mexican cuisine with great ambiance
R199,Restaurant 199,Italian,Indiranagar,4.5,$,43,Authentic South Indian cuisine with great ambiance
R200,Restaurant 200,Mexican,HSR Layout,3.6,$$$,26,Authentic Mexican cuisine with great ambiance
